transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T00000,U089,2021-01-15,Expense,Food,4178.0,Card,Kolkata,
T00001,U069,2021-01-15,Expense,Rent,679.0,Other,Pune,
T00002,U146,2021-02-15,Expense,Travel,956.0,Card,Mumbai,
T00003,U043,2021-03-15,Expense,Food,165.0,Cash,Delhi,
T00004,U005,2021-03-15,Expense,Food,8434.0,Card,Hyderabad,
T00005,U122,2021-04-15,Expense,Rent,5328.0,Other,Hyderabad,
T00006,U149,2021-04-15,Expense,Entrtnmnt,7213.0,Card,Mumbai,
T00007,U008,2021-05-15,Expense,Travel,8186.0,UPI,Bangalore,
T00008,U061,2021-06-15,Expense,Food,209.0,Card,Lucknow,
T00009,U045,2021-06-15,Expense,Entertainment,1998.0,UPI,Lucknow,
T00010,U018,2021-07-15,Expense,Rent,27587.0,UPI,Chennai,
T00011,U104,2021-08-15,Expense,Utilities,964.0,Other,Kolkata,
T00012,U087,2021-10-15,Expense,Utilities,5394.0,UPI,Unknown,
T00013,U055,2021-10-15,Expense,Education,9376.0,UPI,Mumbai,
T00014,U103,2021-10-15,Expense,Entertainment,9484.0,Cash,Mumbai,
T00015,U102,2021-11-15,Expense,Rent,3483.0,Cash,Pune,
T00016,U022,2021-12-15,Expense,Entertainment,5385.0,UPI,Lucknow,
T00017,U090,2021-12-15,Expense,Rent,45093.0,Card,Pune,
T00018,U020,2022-02-15,Expense,Education,5881.0,UPI,Bangalore,
T00019,U053,2022-02-15,Expense,Food,3404.0,Bank Transfer,Hyderabad,
T00020,U121,2022-03-15,Expense,Travel,9451.0,UPI,Jaipur,
T00021,U147,2022-05-15,Expense,Health,7834.0,Cash,Chennai,
T00022,U011,2022-05-15,Expense,Health,5291.0,UPI,Hyderabad,
T00023,U103,2022-05-15,Expense,Travel,459.0,UPI,Delhi,
T00024,U030,2022-06-15,Income,Freelance,36776.0,UPI,Bangalore,
T00025,U061,2022-07-15,Expense,Foodd,3632.0,Cash,Delhi,
T00026,U097,2022-07-15,Expense,Travel,2898.0,Cash,Kolkata,
T00027,U042,2022-08-15,Expense,Education,7554.0,Bank Transfer,Jaipur,
T00028,U011,2022-09-15,Income,Freelance,55604.0,Cash,Chennai,
T00029,U098,2022-10-15,Expense,Others,9440.0,Card,Pune,
T00030,U092,2022-10-15,Expense,Rent,5368.0,Other,Kolkata,
T00031,U055,2022-10-15,Expense,Travel,4510.0,Bank Transfer,Chennai,
T00032,U105,2022-10-15,Expense,Rent,3926.0,Cash,Ahmedabad,
T00033,U070,2022-10-15,Expense,Health,702.0,Cash,Lucknow,
T00034,U090,2022-12-15,Expense,Savings,1022.0,Cash,Pune,
T00035,U053,2022-12-15,Expense,Utilities,6861.0,Cash,Lucknow,
T00036,U021,2023-01-15,Expense,Entrtnmnt,8348.0,Cash,Kolkata,
T00037,U029,2023-01-15,Expense,Traval,9357.0,Cash,Lucknow,
T00038,U088,2023-02-15,Expense,Food,3885.0,Bank Transfer,Kolkata,
T00039,U060,2023-02-15,Expense,Other,8735.0,UPI,Pune,
T00040,U070,2023-02-15,Expense,Entertainment,3076.0,Card,Delhi,
T00041,U047,2023-02-15,Income,Investment,73568.0,UPI,Bangalore,
T00042,U055,2023-03-15,Income,Others,42053.0,Bank Transfer,Pune,
T00043,U080,2023-03-15,Expense,Food,500.0,UPI,Mumbai,
T00044,U094,2023-04-15,Expense,Education,8434.0,UPI,Kolkata,
T00045,U066,2023-04-15,Income,Salary,69892.0,Other,Unknown,
T00046,U091,2023-04-15,Income,Investment,48060.0,Other,Kolkata,
T00047,U001,2023-05-15,Expense,Food,1575.0,UPI,Lucknow,
T00048,U015,2023-06-15,Expense,Food,462.0,UPI,Mumbai,
T00049,U096,2023-06-15,Expense,Entertainment,262.0,Cash,Kolkata,
T00050,U028,2023-07-15,Expense,Education,8323.0,UPI,Pune,
T00051,U035,2023-07-15,Expense,Other,882.0,UPI,Delhi,
T00052,U099,2023-08-15,Expense,Food,8570.0,UPI,Pune,
T00053,U084,2023-08-15,Expense,Food,7321.0,Other,Hyderabad,
T00054,U087,2023-10-15,Expense,Food,500.0,Card,Pune,
T00055,U143,2023-11-15,Expense,Food,4839.0,Cash,Mumbai,
T00056,U031,2023-11-15,Expense,Rent,34793.0,UPI,Kolkata,
T00057,U127,2023-12-15,Expense,Rent,2100.0,Other,Pune,
